,accid_type,accident_contents,from_direction,lane,lat,lng,reception_date,reception_time,reception_viewpoint,region,to_direction
45,사고,"<긴급>=사고=제천 의병대로, 제천상업고등학교에서 제일고등학교 방향, 제천상고 300m 지나 1차로에 화물차간 추돌사고, 사고처리전",제천상업고등학교,1,37.132716,128.224491,2020-09-25,17:19,제천상업고등학교,제천,제일고등학교
46,사고,"<긴급>=사고=원주 무실로, 한지공원4거리에서 무실4거리 방향 무실4거리 가기전 2차로에서 화물차.승용차간 추돌사고.처리전",한지공원4거리,2,37.339651,127.937835,2020-09-25,16:30,무실4거리,원주,무실4거리
47,사고,"<긴급>=사고=원주 북원로, 가현3거리에서 우산철교4거리 방향, 가현3거리 지나 2차로에 승용차와 승합차간 추돌사고, 사고처리전",가현3거리,2,37.385500,127.947754,2020-09-25,13:31,가현3거리,원주,우산철교4거리
48,사고,<긴급>-사고- 춘천 법원3거리에서 석사4거리 방향 강대3거리 부근 화물차와 택시간의 충돌사고. 사고처리 전.,법원3거리,,37.865042,127.735484,2020-09-25,10:03,강대3거리,춘천,석사4거리
49,사고,<긴급>=사고=원주 북원로 우무개3거리에서 우산철교4거리 방향 중간지점 2차로 승용차2대와 승합차 간 추돌사고. 사고처리 전,우무개3거리,2,37.363032,127.940018,2020-09-25,8:30,우무개3거리,원주,우산철교4거리
50,사고,"<긴급>=사고=강릉 성덕포남로 입암4주공아파트에서 경찰서방향, 입암4주공아파트 후문 앞 화물차와 승용차 간 측면 충돌사고. 사고처리 전",입암주공4단지아파트,,37.762006,128.916351,2020-09-25,7:35,입암주공4단지아파트,강릉,경찰서
51,사고,<긴급>=사고=홍천 터미널-홍천여고 방향 다이소앞3거리 승용차.오토바이간 추돌사고.처리전,홍천터미널,,37.690135,127.880806,2020-09-24,19:11,다이소 앞,홍천,홍천여고
52,사고,<긴급>=사고=원주 시청로 용화산3거리-시청4거리방향 법조4거리 100미터 지난지점 3차로에서 승합차간 추돌사고.처리전,용화산3거리,,37.335018,127.930924,2020-09-24,19:07,법조4거리,원주,시청4거리
53,사고,<긴급>=사고=강릉 국립원주대-남산한라@ 방향.남산한라@ 1K가기전 1차로에서 승용차간 추돌사고.처리전,국립원주대,1,37.746318,128.884416,2020-09-24,18:43,남산한라아파트,강릉,남산한라아파트
54,사고,"<긴급>=사고=삼척 터미널에서 정라진 방향, 삼척병원앞 승용차와 레미콘간 추돌사고. 사고처리 전",터미널,,37.437125,129.172646,2020-09-24,10:30,삼척병원,삼척,정라진
55,사고,"<긴급>=사고=원주 봉산현대아파트에서 원주초교 방향, 중간지점 승용차 대인사고. 사고처리 중. 여파로 정체되니 우회하세요",봉산현대아파트,,37.346370,127.961115,2020-08-19,15:16,원주초교,원주,원주초교
56,사고,"<긴급>=사고=원주 단계은행아파트에서 원주역 방향, 단계4거리 내 1차로에 승용차간 추돌사고, 사고처리중",단계은행아파트,1,37.356674,127.935982,2020-08-19,14:48,단계4거리,원주,원주역
57,사고,<긴급>=사고=속초 엑스포교 승용차간 추돌사고.처리전,,,38.193271,128.581534,2020-08-19,14:32,엑스포교,속초,
58,사고,<긴급>=사고= 강릉 시청앞교차로내에서 승용차 3대간 추돌사고. 사고처리 전.,,,37.751725,128.878597,2020-08-19,11:04,시청앞교차로,강릉,
59,사고,"<긴급>=사고=국도46호선 가평에서 청평방향, 가평5거리 내 1,2차로에 걸쳐 승용차간 추돌사고. 사고처리 전",가평,"1, 2",37.822404,127.514508,2020-08-19,11:01,가평5거리,가평,청평
